text,label
This is a human-written sentence,human
This is an AI-generated text sample.,ai
Another human-created paragraph about life.,human
This essay was generated by ChatGPT.,ai
"In this paper, we will discuss the implications of climate change.",human
The following text was written by a machine learning model trained on diverse datasets.,ai
"Walking through the forest, the boy noticed the chirping of birds and rustle of leaves.",human
Large language models are capable of producing coherent and contextually relevant text.,ai
"Her thoughts wandered as she stared out the window, lost in a daydream.",human
This response is generated by artificial intelligence to provide relevant information.,ai
Poetry has the power to move the human spirit and evoke deep emotions.,human
AI can analyze patterns and deliver personalized recommendations based on user data.,ai
"The rain poured steadily as we huddled beneath the shelter, sharing stories.",human
The system utilizes natural language processing to understand and generate content.,ai
"He carefully followed the recipe, measuring each ingredient with precision.",human
Neural networks process vast amounts of data to learn linguistic structures.,ai
A handwritten letter carries emotions that no digital message can replace.,human
GPT-4 can simulate conversations that closely resemble human dialogue.,ai
Sunsets at the beach always reminded her of childhood summers.,human
AI-generated content often lacks the nuance of true personal experience.,ai
